Index,ID,Name,Age,Photo,Nationality,Overall,Club,Wage
0,158023,L. Messi,31,https://cdn.sofifa.org/players/4/19/158023.png,Argentina,94,FC Barcelona,€565K
1,20801,Cristiano Ronaldo,33,https://cdn.sofifa.org/players/4/19/20801.png,Portugal,94,Juventus,€405K
2,190871,Neymar Jr,26,https://cdn.sofifa.org/players/4/19/190871.png,Brazil,92,Paris Saint-Germain,€290K
3,193080,De Gea,27,https://cdn.sofifa.org/players/4/19/193080.png,Spain,91,Manchester United,€260K
4,192985,K. De Bruyne,27,https://cdn.sofifa.org/players/4/19/192985.png,Belgium,91,Manchester City,€355K
5,183277,E. Hazard,27,https://cdn.sofifa.org/players/4/19/183277.png,Belgium,91,Chelsea,€340K
6,177003,L. Modrić,32,https://cdn.sofifa.org/players/4/19/177003.png,Croatia,91,Real Madrid,€420K
7,176580,L. Suárez,31,https://cdn.sofifa.org/players/4/19/176580.png,Uruguay,91,FC Barcelona,€455K
8,155862,Sergio Ramos,32,https://cdn.sofifa.org/players/4/19/155862.png,Spain,91,Real Madrid,€380K
9,200389,J. Oblak,25,https://cdn.sofifa.org/players/4/19/200389.png,Slovenia,90,Atlético Madrid,€94K
10,188545,R. Lewandowski,29,https://cdn.sofifa.org/players/4/19/188545.png,Poland,90,FC Bayern München,€205K
11,182521,T. Kroos,28,https://cdn.sofifa.org/players/4/19/182521.png,Germany,90,Real Madrid,€355K
12,182493,D. Godín,32,https://cdn.sofifa.org/players/4/19/182493.png,Uruguay,90,Atlético Madrid,€125K
13,168542,David Silva,32,https://cdn.sofifa.org/players/4/19/168542.png,Spain,90,Manchester City,€285K
14,215914,N. Kanté,27,https://cdn.sofifa.org/players/4/19/215914.png,France,89,Chelsea,€225K
15,211110,P. Dybala,24,https://cdn.sofifa.org/players/4/19/211110.png,Argentina,89,Juventus,€205K
16,202126,H. Kane,24,https://cdn.sofifa.org/players/4/19/202126.png,England,89,Tottenham Hotspur,€205K
17,194765,A. Griezmann,27,https://cdn.sofifa.org/players/4/19/194765.png,France,89,Atlético Madrid,€145K
18,192448,M. ter Stegen,26,https://cdn.sofifa.org/players/4/19/192448.png,Germany,89,FC Barcelona,€240K
19,192119,T. Courtois,26,https://cdn.sofifa.org/players/4/19/192119.png,Belgium,89,Real Madrid,€240K
20,189511,Sergio Busquets,29,https://cdn.sofifa.org/players/4/19/189511.png,Spain,89,FC Barcelona,€315K
21,179813,E. Cavani,31,https://cdn.sofifa.org/players/4/19/179813.png,Uruguay,89,Paris Saint-Germain,€200K
22,167495,M. Neuer,32,https://cdn.sofifa.org/players/4/19/167495.png,Germany,89,FC Bayern München,€130K
23,153079,S. Agüero,30,https://cdn.sofifa.org/players/4/19/153079.png,Argentina,89,Manchester City,€300K
24,138956,G. Chiellini,33,https://cdn.sofifa.org/players/4/19/138956.png,Italy,89,Juventus,€215K
25,231747,K. Mbappé,19,https://cdn.sofifa.org/players/4/19/231747.png,France,88,Paris Saint-Germain,€100K
26,209331,M. Salah,26,https://cdn.sofifa.org/players/4/19/209331.png,Egypt,88,Liverpool,€255K
27,200145,Casemiro,26,https://cdn.sofifa.org/players/4/19/200145.png,Brazil,88,Real Madrid,€285K
28,198710,J. Rodríguez,26,https://cdn.sofifa.org/players/4/19/198710.png,Colombia,88,FC Bayern München,€315K
29,198219,L. Insigne,27,https://cdn.sofifa.org/players/4/19/198219.png,Italy,88,Napoli,€165K
30,197781,Isco,26,https://cdn.sofifa.org/players/4/19/197781.png,Spain,88,Real Madrid,€315K
31,190460,C. Eriksen,26,https://cdn.sofifa.org/players/4/19/190460.png,Denmark,88,Tottenham Hotspur,€205K
